product_sk,product_id,product_name,brand,sku,category_id,category_name,supplier_id,supplier_name,supplier_type,mrp,selling_price,cost_price,product_rating,total_reviews,product_status,is_returnable,launch_date,effective_start_date,effective_end_date,is_current
380,PROD000392,Pepe Jeans Slim Fit 3933,Pepe Jeans,SKU-PEP-MEN-5056,CAT0020,Men Clothing,SUP0168,Hyderabad Pharma & Cosmetics Depot,Internal Warehouse Supplier,68276.0,54620.8,37295.0,2.9,24643,ACTIVE,true,2025-04-27,2026-06-07,9999-12-31,true
385,PROD000397,Apple iPhone 12 8475,Apple,SKU-APP-MOB-4941,CAT0006,Mobiles,SUP0201,PowerPulse Energy Nutrition,Marketplace Seller,49265.0,43353.2,36286.58,2.6,43508,OUT_OF_STOCK,true,2024-09-30,2026-06-07,9999-12-31,true
395,PROD000407,Noise BassX 7370,Noise,SKU-NOI-HEA-1907,CAT0012,Headphones,SUP0179,Olympic Sports Wholesalers,Wholesaler,146453.0,123020.52,83762.77,4.8,37191,ACTIVE,true,2025-08-25,2026-06-07,9999-12-31,true
403,PROD000416,Nivia Max-repultion 7198,Nivia,SKU-NIV-FIT-1085,CAT0084,Fitness Equipment,SUP0005,Silicon Valley Importers,Distributor,145864.0,97728.88,64671.29,4.3,24207,ACTIVE,true,2024-02-23,2026-06-07,9999-12-31,true
405,PROD000418,ASUS Pavallion 3204,ASUS,SKU-ASU-LAP-5908,CAT0009,Laptops,SUP0015,Vanguard Audio Systems,Retail Vendor,40185.0,32549.85,21423.75,3.9,26621,ACTIVE,true,2023-11-12,2026-06-07,9999-12-31,true
407,PROD000420,Apple Redmi 9558,Apple,SKU-APP-MOB-7731,CAT0006,Mobiles,SUP0186,TrekKer Hiking & Mountain Gear,Wholesaler,145113.0,130601.7,98499.22,2.6,21815,ACTIVE,true,2024-08-14,2026-06-07,9999-12-31,true
418,PROD000432,Noise AirBeat 2781,Noise,SKU-NOI-HEA-6842,CAT0012,Headphones,SUP0170,ExpressCargo Wholesale Traders,Wholesaler,29782.0,20549.58,12655.45,4.6,30638,ACTIVE,false,2026-02-28,2026-06-07,9999-12-31,true
422,PROD000437,JBL Wave 4272,JBL,SKU-JBL-HEA-9234,CAT0012,Headphones,SUP0067,TrueBlue Indigo Mills,Distributor,118125.0,93318.75,59863.55,3.9,21991,ACTIVE,false,2024-07-24,2026-06-07,9999-12-31,true
425,PROD000440,The Derma Co Matte 1352,The Derma Co,SKU-THE-SKI-2792,CAT0071,Skincare,SUP0179,Olympic Sports Wholesalers,Wholesaler,111645.0,72569.25,51545.67,2.8,11970,ACTIVE,true,2025-07-26,2026-06-07,9999-12-31,true
437,PROD000452,Nike Zoom 107,Nike,SKU-NIK-FOO-5866,CAT0043,Footwear,SUP0011,Omega Mobile Accessories,Marketplace Seller,96334.0,67433.8,50968.45,2.8,9077,ACTIVE,true,2024-12-24,2026-06-07,9999-12-31,true
448,PROD000463,HRX Regular Fit 9992,HRX,SKU-HRX-WOM-5034,CAT0032,Women Clothing,SUP0175,NationWide Multi-Category Sellers,Marketplace Seller,33362.0,29692.18,22098.33,3.2,7564,ACTIVE,true,2024-11-03,2026-06-07,9999-12-31,true
456,PROD000471,Mamaearth onion shampoo 7243,Mamaearth,SKU-MAM-HAI-5171,CAT0078,Haircare,SUP0210,DefenseShield Martial Arts,Retail Vendor,70447.0,61288.89,48955.6,3.9,47032,ACTIVE,false,2023-07-06,2026-06-07,9999-12-31,true
463,PROD000478,Alphax B62 9176,Alphax,SKU-ALP-FIT-3747,CAT0084,Fitness Equipment,SUP0008,FutureTech Direct Sales,Retail Vendor,136751.0,114870.84,79926.26,3.8,16001,ACTIVE,true,2024-02-07,2026-06-07,9999-12-31,true
476,PROD000492,The Derma Co Anti-dendruff 5337,The Derma Co,SKU-THE-HAI-9775,CAT0078,Haircare,SUP0097,GlassWare Premium Outlets,Retail Vendor,96898.0,63952.68,54193.54,4.2,4176,ACTIVE,true,2025-10-25,2026-06-07,9999-12-31,true
481,PROD000498,Levis Relaxed Fit 5651,Levis,SKU-LEV-MEN-6273,CAT0020,Men Clothing,SUP0166,SpringFresh Body Sprays,Distributor,143065.0,94422.9,64560.05,2.7,42649,ACTIVE,true,2026-03-10,2026-06-07,9999-12-31,true
485,PROD000502,Nivia pro-series 8947,Nivia,SKU-NIV-FIT-3385,CAT0084,Fitness Equipment,SUP0206,Precision Golf Clubs & Balls,Distributor,16125.0,10642.5,8023.88,3.3,16109,ACTIVE,true,2024-05-10,2026-06-07,9999-12-31,true
489,PROD000506,Cosco A13 5170,Cosco,SKU-COS-FIT-5486,CAT0084,Fitness Equipment,SUP0067,TrueBlue Indigo Mills,Distributor,27326.0,19401.46,15982.28,4.5,40432,OUT_OF_STOCK,true,2023-06-03,2026-06-07,9999-12-31,true
493,PROD000510,Spykar Relaxed Fit 5805,Spykar,SKU-SPY-WOM-4747,CAT0032,Women Clothing,SUP0025,Sigma Imaging Products LLP,Distributor,39419.0,26804.92,20057.75,4.7,28823,ACTIVE,false,2024-09-24,2026-06-07,9999-12-31,true
497,PROD000515,Samsung iPhone 15 pro 1833,Samsung,SKU-SAM-MOB-2198,CAT0006,Mobiles,SUP0207,DeepBlue Scuba Accessories,Wholesaler,29556.0,22462.56,17700.25,2.9,15614,ACTIVE,true,2024-11-09,2026-06-07,9999-12-31,true
517,PROD000535,Peter England Regular Fit 7560,Peter England,SKU-PET-WOM-6573,CAT0032,Women Clothing,SUP0035,Pinnacle Computer Trade,Wholesaler,37188.0,25659.72,19783.99,4.7,42285,ACTIVE,true,2024-05-13,2026-06-07,9999-12-31,true
518,PROD000536,Boat Wave 2163,Boat,SKU-BOA-HEA-5982,CAT0012,Headphones,SUP0216,BlueDart Logistics Storage Node,Internal Warehouse Supplier,26771.0,20345.96,14175.34,3.3,28879,ACTIVE,true,2026-04-20,2026-06-07,9999-12-31,true
519,PROD000537,Lenovo Legion 3286,Lenovo,SKU-LEN-LAP-7373,CAT0009,Laptops,SUP0037,SuperConductor Supply Co,Wholesaler,98650.0,87798.5,65803.27,3.5,47848,ACTIVE,true,2025-06-25,2026-06-07,9999-12-31,true
520,PROD000538,Nike Sprint 5495,Nike,SKU-NIK-FOO-7883,CAT0043,Footwear,SUP0115,TerraCotta EarthWare Group,Retail Vendor,62057.0,54610.16,44786.97,4.7,3485,ACTIVE,true,2025-03-06,2026-06-07,9999-12-31,true
528,PROD000548,Apple Z fold 4423,Apple,SKU-APP-MOB-7371,CAT0006,Mobiles,SUP0120,PureWater Filter Tech Group,Retail Vendor,17603.0,13202.25,10022.83,4.7,48292,ACTIVE,true,2023-08-30,2026-06-07,9999-12-31,true
534,PROD000554,Adidas Runner 5661,,SKU-ADI-FOO-6166,CAT0043,Footwear,SUP0207,DeepBlue Scuba Accessories,Wholesaler,105677.0,76087.44,56590.48,4.2,39872,ACTIVE,true,2024-08-19,2026-06-07,9999-12-31,true
545,PROD000565,Nike AirMax 1386,Nike,SKU-NIK-FOO-3233,CAT0043,Footwear,SUP0144,FreshBreath Oral Care Ltd,Wholesaler,644.0,528.08,369.1,2.7,1877,ACTIVE,true,2026-05-30,2026-06-07,9999-12-31,true
557,PROD000577,Boat SoundPro 2782,Boat,SKU-BOA-HEA-7884,CAT0012,Headphones,SUP0158,ClearSkin Laser & Spa Supply,Distributor,97403.0,62337.92,50308.89,3.0,9215,ACTIVE,false,2026-01-15,2026-06-07,9999-12-31,true
578,PROD000600,Reebok Zoom 7579,Reebok,SKU-REE-FOO-5580,CAT0043,Footwear,SUP0045,Classic Threads Retailers,Retail Vendor,100931.0,91847.21,60943.7,3.6,41656,ACTIVE,true,2025-05-31,2026-06-07,9999-12-31,true
586,PROD000608,Sony SoundPro 8173,Sony,SKU-SON-HEA-8791,CAT0012,Headphones,SUP0190,AquaSwim Pool Accessories,Retail Vendor,93667.0,61820.22,44942.69,5.0,22266,ACTIVE,true,2025-06-17,2026-06-07,9999-12-31,true
593,PROD000615,Puma Sprint 7962,Puma,SKU-PUM-FOO-4988,CAT0043,Footwear,SUP0031,ElectroGlow LED Manufacturing,Distributor,2424.0,1818.0,1424.44,2.6,22321,ACTIVE,false,2023-07-31,2026-06-07,9999-12-31,true
595,PROD000618,OnePlus infinity 9030,OnePlus,SKU-ONE-MOB-5801,CAT0006,Mobiles,SUP0097,GlassWare Premium Outlets,Retail Vendor,23750.0,15200.0,10905.41,4.8,32686,OUT_OF_STOCK,true,2024-07-10,2026-06-07,9999-12-31,true
602,PROD000625,Clinic plus body gel 5900,Clinic plus,SKU-CLI-HAI-8821,CAT0078,Haircare,SUP0139,HerbalVeda Ayurvedic Bulk,Wholesaler,143818.0,90605.34,72341.81,4.2,38650,ACTIVE,true,2025-10-22,2026-06-07,9999-12-31,true
603,PROD000626,MSI Inspiron 7301,MSI,SKU-MSI-LAP-3628,CAT0009,Laptops,SUP0136,SkinDeep Dermatological Gear,Distributor,89996.0,64797.12,47680.31,3.4,30501,ACTIVE,true,2026-05-11,2026-06-07,9999-12-31,true
619,PROD000645,JBL Wave 2248,JBL,SKU-JBL-HEA-4590,CAT0012,Headphones,SUP0053,Monarch Leather Goods,Wholesaler,133425.0,98734.5,68967.77,3.0,16308,ACTIVE,true,2024-10-15,2026-06-07,9999-12-31,true
637,PROD000666,Mamaearth onion shampoo 8086,Mamaearth,SKU-MAM-HAI-1466,CAT0078,Haircare,SUP0203,NetPlay Badminton Systems,Wholesaler,138038.0,95246.22,77075.86,3.9,36931,ACTIVE,true,2024-11-04,2026-06-07,9999-12-31,true
638,PROD000667,Sony Pods 7150,Sony,SKU-SON-HEA-7417,CAT0012,Headphones,SUP0137,Radiant Skin Care Agencies,Wholesaler,95421.0,83016.27,57893.96,4.5,40836,ACTIVE,true,2023-08-09,2026-06-07,9999-12-31,true
652,PROD000683,Levis Regular Fit 7089,Levis,SKU-LEV-WOM-3960,CAT0032,Women Clothing,SUP0055,SoleMate Shoe Manufacturers,Wholesaler,72218.0,57052.22,35847.33,4.4,49343,DISCONTINUED,false,2024-11-13,2026-06-07,9999-12-31,true
657,PROD000688,Pepe Jeans Relaxed Fit 7905,Pepe Jeans,SKU-PEP-MEN-1655,CAT0020,Men Clothing,SUP0165,ColorPalette Nail Polishes,Marketplace Seller,11631.0,7676.46,5123.34,3.9,2008,DISCONTINUED,true,2024-02-14,2026-06-07,9999-12-31,true
661,PROD000692,Pepe Jeans Slim Fit 8957,Pepe Jeans,SKU-PEP-MEN-1769,CAT0020,Men Clothing,SUP0137,Radiant Skin Care Agencies,Wholesaler,96613.0,85019.44,64373.0,3.8,18424,ACTIVE,true,2025-11-14,2026-06-07,9999-12-31,true
666,PROD000697,Samsung Note 204,Samsung,SKU-SAM-MOB-8494,CAT0006,Mobiles,SUP0096,KitchenKing Cookware Trading,Wholesaler,129637.0,107598.71,87794.74,4.3,13822,ACTIVE,true,2023-08-23,2026-06-07,9999-12-31,true
676,PROD000707,HRX Regular Fit 9448,HRX,SKU-HRX-MEN-6881,CAT0020,Men Clothing,SUP0013,LaserLine Optoelectronics,Distributor,137441.0,120948.08,94584.64,3.6,28468,ACTIVE,true,2024-02-09,2026-06-07,9999-12-31,true
681,PROD000712,Peter England Regular Fit 497,,SKU-PET-MEN-5549,CAT0020,Men Clothing,SUP0132,AromaTherapy Essential Oils,Wholesaler,82592.0,67725.44,44076.99,4.4,21217,DISCONTINUED,true,2024-05-20,2026-06-07,9999-12-31,true
687,PROD000719,Wrangler Regular Fit 748,Wrangler,SKU-WRA-WOM-7825,CAT0032,Women Clothing,SUP0205,GameDay Premium Team Jerseys,Retail Vendor,33002.0,27391.66,17582.79,4.2,28319,ACTIVE,true,2026-03-20,2026-06-07,9999-12-31,true
689,PROD000721,Xiaomi Redmi 4539,Xiaomi,SKU-XIA-MOB-3207,CAT0006,Mobiles,SUP0064,SmartFit Uniform Vendors,Retail Vendor,88293.0,55624.59,38496.6,3.6,44844,ACTIVE,true,2024-05-19,2026-06-07,9999-12-31,true
691,PROD000723,Nivia Max-repultion 892,Nivia,SKU-NIV-FIT-2759,CAT0084,Fitness Equipment,SUP0187,Apex Gym Floorings & Mats,Wholesaler,132998.0,106398.4,68116.83,4.2,3928,ACTIVE,true,2024-03-31,2026-06-07,9999-12-31,true
696,PROD000728,Apple ROG 9898,Apple,SKU-APP-LAP-1413,CAT0009,Laptops,SUP0072,DesiWeaves Traditional Co,Wholesaler,21489.0,13323.18,10881.17,5.0,46003,OUT_OF_STOCK,true,2023-10-26,2026-06-07,9999-12-31,true
706,PROD000740,Nykaa Cosmetics Sunscream s 50 8744,Nykaa Cosmetics,SKU-NYK-SKI-7311,CAT0071,Skincare,SUP0135,LuxeCosmetics Trading Co,Wholesaler,7053.0,6559.29,4648.6,4.1,26068,ACTIVE,true,2024-04-18,2026-06-07,9999-12-31,true
708,PROD000743,Yonex B62 265,Yonex,SKU-YON-FIT-8145,CAT0084,Fitness Equipment,SUP0015,Vanguard Audio Systems,Retail Vendor,15657.0,9550.77,6425.13,3.3,6984,ACTIVE,true,2024-04-28,2026-06-07,9999-12-31,true
723,PROD000759,Lakmé Sheet-mask 3740,Lakmé,SKU-LAK-SKI-9910,CAT0071,Skincare,SUP0102,Classic Rugs & Carpets,Wholesaler,114087.0,81001.77,51987.98,3.7,15719,ACTIVE,false,2024-06-17,2026-06-07,9999-12-31,true
753,PROD000789,Yonex pro-series 2225,Yonex,SKU-YON-FIT-6202,CAT0084,Fitness Equipment,SUP0152,Lotus Petals Cosmetics,Wholesaler,145908.0,131317.2,103471.07,3.4,44515,OUT_OF_STOCK,true,2024-03-12,2026-06-07,9999-12-31,true
755,PROD000791,Realme Wave 1439,Realme,SKU-REA-HEA-6357,CAT0012,Headphones,SUP0094,LuxeBedding Linens & Sheets,Wholesaler,129432.0,98368.32,69809.07,3.3,20797,ACTIVE,true,2023-08-09,2026-06-07,9999-12-31,true
762,PROD000798,Nivia B62 194,Nivia,SKU-NIV-FIT-4985,CAT0084,Fitness Equipment,SUP0117,EverLasting Plastics House,Wholesaler,74181.0,48959.46,36062.06,4.8,30307,ACTIVE,true,2024-04-17,2026-06-07,9999-12-31,true
766,PROD000802,Peter England Relaxed Fit 6998,Peter England,SKU-PET-MEN-1273,CAT0020,Men Clothing,SUP0143,OrganicRoots Wellness Hub,Marketplace Seller,92428.0,63775.32,44717.36,3.1,37782,ACTIVE,true,2024-04-09,2026-06-07,9999-12-31,true
769,PROD000806,MSI Pavallion 3184,MSI,SKU-MSI-LAP-4027,CAT0009,Laptops,SUP0125,Furniture Freight Yard,Internal Warehouse Supplier,42923.0,38630.7,23759.09,3.0,6024,ACTIVE,true,2025-04-24,2026-06-07,9999-12-31,true
771,PROD000809,Noise Pods 997,Noise,SKU-NOI-HEA-5489,CAT0012,Headphones,SUP0092,CeramicVibe Potteries Group,Retail Vendor,61594.0,44347.68,33344.64,2.5,7187,ACTIVE,true,2025-02-10,2026-06-07,9999-12-31,true
790,PROD000828,ASUS Victus 1340,ASUS,SKU-ASU-LAP-5771,CAT0009,Laptops,SUP0160,Advanced Trichology Labs,Wholesaler,36487.0,22621.94,17912.2,3.5,1930,ACTIVE,true,2026-01-21,2026-06-07,9999-12-31,true
794,PROD000832,Nykaa Cosmetics Vitamin C Enriched 5381,Nykaa Cosmetics,SKU-NYK-SKI-6963,CAT0071,Skincare,SUP0162,BabySafe Hypoallergenic Products,Wholesaler,67147.0,55060.54,35190.67,2.5,14565,ACTIVE,true,2026-03-02,2026-06-07,9999-12-31,true
827,PROD000865,Cosco Max-repultion 7664,,SKU-COS-FIT-4853,CAT0084,Fitness Equipment,SUP0084,Textile CrossDock,Internal Warehouse Supplier,56693.0,34582.73,21076.83,3.9,36658,DISCONTINUED,true,2026-02-11,2026-06-07,9999-12-31,true
833,PROD000871,JBL BassX 6560,JBL,SKU-JBL-HEA-4986,CAT0012,Headphones,SUP0215,Sports Ingestion Center,Internal Warehouse Supplier,119157.0,91750.89,62328.14,3.2,49983,OUT_OF_STOCK,true,2024-01-29,2026-06-07,9999-12-31,true
840,PROD000878,Cosco A13 8423,Cosco,SKU-COS-FIT-3780,CAT0084,Fitness Equipment,SUP0122,Zodiac Clock Manufacturing,Marketplace Seller,132939.0,93057.3,69252.07,2.8,5540,ACTIVE,true,2025-07-17,2026-06-07,9999-12-31,true
844,PROD000882,Wrangler Regular Fit 7245,Wrangler,SKU-WRA-WOM-8790,CAT0032,Women Clothing,SUP0215,Sports Ingestion Center,Internal Warehouse Supplier,3977.0,3102.06,2417.73,2.8,27876,ACTIVE,true,2023-08-22,2026-06-07,9999-12-31,true
861,PROD000899,Alphax B62 3160,Alphax,SKU-ALP-FIT-8785,CAT0084,Fitness Equipment,SUP0027,Infinity Smart Appliances,Wholesaler,87483.0,57738.78,44912.21,4.8,43642,ACTIVE,false,2024-10-31,2026-06-07,9999-12-31,true
862,PROD000900,Wrangler Relaxed Fit 5719,Wrangler,SKU-WRA-MEN-7638,CAT0020,Men Clothing,SUP0079,Flipkart Fulfillment Partner,Internal Warehouse Supplier,40088.0,24854.56,19392.51,2.8,5778,ACTIVE,false,2026-03-19,2026-06-07,9999-12-31,true
875,PROD000915,Reebok AirMax 8054,Reebok,SKU-REE-FOO-4048,CAT0043,Footwear,SUP0048,Elegant Silks & Fabrics,Wholesaler,97452.0,59445.72,45670.37,4.9,7488,DISCONTINUED,true,2024-03-16,2026-06-07,9999-12-31,true
891,PROD000932,OnePlus Note 4617,OnePlus,SKU-ONE-MOB-9994,CAT0006,Mobiles,SUP0005,Silicon Valley Importers,Distributor,102822.0,85342.26,56376.29,3.0,5183,ACTIVE,true,2025-12-11,2026-06-07,9999-12-31,true
893,PROD000934,The Derma Co body gel 5317,The Derma Co,SKU-THE-HAI-4608,CAT0078,Haircare,SUP0186,TrekKer Hiking & Mountain Gear,Wholesaler,17727.0,11699.82,7660.17,4.7,33907,ACTIVE,true,2025-05-27,2026-06-07,9999-12-31,true
